class_name,time,accuracy_score,f1_score,n,prep_time
SVM,15.397516250610352,0.9730769230769232,0.9745083758193736,6500,25.154284238815308
HardMarginSVM_hashing,813.6390500068665,0.93,0.9339622641509434,7000,
LinearSVM,31.03567266464233,0.975,0.9765258215962442,7000,
SVC,324.9208884239197,0.9771428571428572,0.978523489932886,7000,
SVM,14.78186845779419,0.9771428571428572,0.9784656796769852,7000,26.989282608032227
HardMarginSVM_hashing,893.6495702266693,0.928,0.929226736566186,7500,
LinearSVM,36.02343821525574,0.9733333333333334,0.9741935483870968,7500,
SVC,372.1959593296051,0.9746666666666668,0.975483870967742,7500,
SVM,14.595690488815308,0.9746666666666668,0.975483870967742,7500,29.21225333213806
HardMarginSVM_hashing,1134.1345083713531,0.923125,0.925227963525836,8000,
LinearSVM,43.586541175842285,0.976875,0.9778310365488316,8000,
SVC,422.37468338012695,0.9775,0.9784688995215312,8000,
SVM,18.731438636779785,0.9775,0.9783132530120482,8000,30.90457344055176
HardMarginSVM_hashing,1149.81871676445,0.9323529411764706,0.9331006399069226,8500,
LinearSVM,48.99730443954468,0.9752941176470588,0.9761092150170648,8500,
SVC,490.2201855182648,0.9729411764705882,0.9738339021615472,8500,
SVM,19.03803324699402,0.9741176470588236,0.9751412429378532,8500,33.161818504333496
HardMarginSVM_hashing,1337.3060371875763,0.93,0.931891891891892,9000,
LinearSVM,55.81015753746033,0.9777777777777776,0.9787007454739084,9000,
SVC,547.23876953125,0.9772222222222222,0.9781333333333332,9000,
SVM,20.52791714668274,0.9794444444444445,0.9801608579088472,9000,34.5597939491272
HardMarginSVM_hashing,1435.7125670909882,0.9294736842105265,0.9321862348178136,9500,
LinearSVM,63.34117317199707,0.9742105263157896,0.975561097256858,9500,
SVC,600.2928748130798,0.9794736842105264,0.9805097451274364,9500,
SVM,23.870705604553223,0.98,0.9809428284854564,9500,36.67926383018494
